trial0000270, AA, 2002, 20, 100.100000, GDX, 1952, 20, 97.600000, 
trial0000271, AA, 2649, 20, 132.450000, GDX, 1297, 20, 64.850000, 
trial0000272, AA, 1854, 20, 92.700000, GDX, 1802, 20, 90.100000, 
trial0000273, AA, 2393, 20, 119.650000, GDX, 1417, 20, 70.850000, 
trial0000274, AA, 2199, 20, 109.950000, GDX, 1607, 20, 80.350000, 
trial0000275, AA, 2064, 20, 103.200000, GDX, 1905, 20, 95.250000, 
trial0000276, AA, 2099, 20, 104.950000, GDX, 1652, 20, 82.600000, 
trial0000277, AA, 2483, 20, 124.150000, GDX, 1102, 20, 55.100000, 
trial0000278, AA, 1471, 20, 73.550000, GDX, 2340, 20, 117.000000, 
trial0000279, AA, 3097, 20, 154.850000, GDX, 810, 20, 40.500000, 
trial0000280, AA, 1959, 20, 97.950000, GDX, 1582, 20, 79.100000, 
trial0000281, AA, 2361, 20, 118.050000, GDX, 1372, 20, 68.600000, 
trial0000282, AA, 1820, 20, 91.000000, GDX, 1795, 20, 89.750000, 
trial0000283, AA, 1924, 20, 96.200000, GDX, 1768, 20, 88.400000, 
trial0000284, AA, 2208, 20, 110.400000, GDX, 1228, 20, 61.400000, 
trial0000285, AA, 2262, 20, 113.100000, GDX, 1596, 20, 79.800000, 
trial0000286, AA, 2093, 20, 104.650000, GDX, 1379, 20, 68.950000, 
trial0000287, AA, 2172, 20, 108.600000, GDX, 1906, 20, 95.300000, 
trial0000288, AA, 2358, 20, 117.900000, GDX, 1532, 20, 76.600000, 
trial0000289, AA, 1581, 20, 79.050000, GDX, 2268, 20, 113.400000, 
trial0000290, AA, 2092, 20, 104.600000, GDX, 1856, 20, 92.800000, 
trial0000291, AA, 2819, 20, 140.950000, GDX, 1238, 20, 61.900000, 
trial0000292, AA, 2436, 20, 121.800000, GDX, 1316, 20, 65.800000, 
trial0000293, AA, 2301, 20, 115.050000, GDX, 1726, 20, 86.300000, 
trial0000294, AA, 2193, 20, 109.650000, GDX, 1738, 20, 86.900000, 
trial0000295, AA, 2310, 20, 115.500000, GDX, 1574, 20, 78.700000, 
trial0000296, AA, 2562, 20, 128.100000, GDX, 1295, 20, 64.750000, 
trial0000297, AA, 2582, 20, 129.100000, GDX, 1555, 20, 77.750000, 
trial0000298, AA, 1895, 20, 94.750000, GDX, 1784, 20, 89.200000, 
trial0000299, AA, 1625, 20, 81.250000, GDX, 2013, 20, 100.650000, 
trial0000300, AA, 1787, 20, 89.350000, GDX, 2068, 20, 103.400000, 
trial0000301, AA, 5104, 20, 255.200000, GDX, 4281, 20, 214.050000, 
trial0000302, AA, 3578, 20, 178.900000, GDX, 4706, 20, 235.300000, 
trial0000303, AA, 4160, 20, 208.000000, GDX, 4371, 20, 218.550000, 
trial0000304, AA, 4168, 20, 208.400000, GDX, 4922, 20, 246.100000, 
trial0000305, AA, 4275, 20, 213.750000, GDX, 5193, 20, 259.650000, 
trial0000306, AA, 4731, 20, 236.550000, GDX, 4542, 20, 227.100000, 
trial0000307, AA, 5467, 20, 273.350000, GDX, 3053, 20, 152.650000, 
