trial0001271, AA, 5245, 38, 138.026316, ZIP, 0, 2, 0.000000, 
trial0001272, AA, 4846, 38, 127.526316, ZIP, 192, 2, 96.000000, 
trial0001273, AA, 4951, 38, 130.289474, ZIP, 369, 2, 184.500000, 
trial0001274, AA, 5009, 38, 131.815789, ZIP, 249, 2, 124.500000, 
trial0001275, AA, 4514, 38, 118.789474, ZIP, 654, 2, 327.000000, 
trial0001276, AA, 4956, 38, 130.421053, ZIP, 247, 2, 123.500000, 
trial0001277, AA, 4722, 38, 124.263158, ZIP, 500, 2, 250.000000, 
trial0001278, AA, 5087, 38, 133.868421, ZIP, 160, 2, 80.000000, 
trial0001279, AA, 4914, 38, 129.315789, ZIP, 205, 2, 102.500000, 
trial0001280, AA, 4578, 38, 120.473684, ZIP, 735, 2, 367.500000, 
trial0001281, AA, 4845, 38, 127.500000, ZIP, 268, 2, 134.000000, 
trial0001282, AA, 4674, 38, 123.000000, ZIP, 595, 2, 297.500000, 
trial0001283, AA, 4657, 38, 122.552632, ZIP, 579, 2, 289.500000, 
trial0001284, AA, 4989, 38, 131.289474, ZIP, 192, 2, 96.000000, 
trial0001285, AA, 4552, 38, 119.789474, ZIP, 551, 2, 275.500000, 
trial0001286, AA, 5078, 38, 133.631579, ZIP, 123, 2, 61.500000, 
trial0001287, AA, 4832, 38, 127.157895, ZIP, 324, 2, 162.000000, 
trial0001288, AA, 4580, 38, 120.526316, ZIP, 579, 2, 289.500000, 
trial0001289, AA, 4732, 38, 124.526316, ZIP, 403, 2, 201.500000, 
trial0001290, AA, 5333, 38, 140.342105, ZIP, 72, 2, 36.000000, 
trial0001291, AA, 5197, 38, 136.763158, ZIP, 56, 2, 28.000000, 
trial0001292, AA, 4277, 38, 112.552632, ZIP, 857, 2, 428.500000, 
trial0001293, AA, 5024, 38, 132.210526, ZIP, 159, 2, 79.500000, 
trial0001294, AA, 4368, 38, 114.947368, ZIP, 715, 2, 357.500000, 
trial0001295, AA, 5186, 38, 136.473684, ZIP, 5, 2, 2.500000, 
trial0001296, AA, 4834, 38, 127.210526, ZIP, 549, 2, 274.500000, 
trial0001297, AA, 5171, 38, 136.078947, ZIP, 0, 2, 0.000000, 
trial0001298, AA, 4832, 38, 127.157895, ZIP, 346, 2, 173.000000, 
trial0001299, AA, 4804, 38, 126.421053, ZIP, 285, 2, 142.500000, 
trial0001300, AA, 4784, 38, 125.894737, ZIP, 349, 2, 174.500000, 
trial0001301, AA, 9821, 38, 258.447368, ZIP, 307, 2, 153.500000, 
trial0001302, AA, 10192, 38, 268.210526, ZIP, 118, 2, 59.000000, 
trial0001303, AA, 10204, 38, 268.526316, ZIP, 187, 2, 93.500000, 
trial0001304, AA, 8414, 38, 221.421053, ZIP, 1513, 2, 756.500000, 
trial0001305, AA, 9853, 38, 259.289474, ZIP, 345, 2, 172.500000, 
trial0001306, AA, 9779, 38, 257.342105, ZIP, 456, 2, 228.000000, 
trial0001307, AA, 10293, 38, 270.868421, ZIP, 0, 2, 0.000000, 
trial0001308, AA, 9113, 38, 239.815789, ZIP, 894, 2, 447.000000, 
trial0001309, AA, 9781, 38, 257.394737, ZIP, 261, 2, 130.500000, 
trial0001310, AA, 9816, 38, 258.315789, ZIP, 571, 2, 285.500000, 
trial0001311, AA, 10227, 38, 269.131579, ZIP, 41, 2, 20.500000, 
trial0001312, AA, 9262, 38, 243.736842, ZIP, 581, 2, 290.500000, 
trial0001313, AA, 9215, 38, 242.500000, ZIP, 973, 2, 486.500000, 
trial0001314, AA, 9704, 38, 255.368421, ZIP, 371, 2, 185.500000, 
trial0001315, AA, 9706, 38, 255.421053, ZIP, 23, 2, 11.500000, 
trial0001316, AA, 8919, 38, 234.710526, ZIP, 845, 2, 422.500000, 
trial0001317, AA, 9570, 38, 251.842105, ZIP, 532, 2, 266.000000, 
trial0001318, AA, 8273, 38, 217.710526, ZIP, 1508, 2, 754.000000, 
trial0001319, AA, 9356, 38, 246.210526, ZIP, 363, 2, 181.500000, 
trial0001320, AA, 10163, 38, 267.447368, ZIP, 6, 2, 3.000000, 
trial0001321, AA, 10338, 38, 272.052632, ZIP, 0, 2, 0.000000, 
trial0001322, AA, 10080, 38, 265.263158, ZIP, 24, 2, 12.000000, 
trial0001323, AA, 9597, 38, 252.552632, ZIP, 493, 2, 246.500000, 
trial0001324, AA, 9299, 38, 244.710526, ZIP, 763, 2, 381.500000, 
trial0001325, AA, 9336, 38, 245.684211, ZIP, 571, 2, 285.500000, 
trial0001326, AA, 8897, 38, 234.131579, ZIP, 1420, 2, 710.000000, 
trial0001327, AA, 10348, 38, 272.315789, ZIP, 44, 2, 22.000000, 
trial0001328, AA, 9678, 38, 254.684211, ZIP, 385, 2, 192.500000, 
trial0001329, AA, 10033, 38, 264.026316, ZIP, 82, 2, 41.000000, 
trial0001330, AA, 10212, 38, 268.736842, ZIP, 0, 2, 0.000000, 
trial0001331, AA, 10079, 38, 265.236842, ZIP, 11, 2, 5.500000, 
trial0001332, AA, 9983, 38, 262.710526, ZIP, 24, 2, 12.000000, 
trial0001333, AA, 9436, 38, 248.315789, ZIP, 249, 2, 124.500000, 
trial0001334, AA, 9817, 38, 258.342105, ZIP, 43, 2, 21.500000, 
trial0001335, AA, 10198, 38, 268.368421, ZIP, 67, 2, 33.500000, 
trial0001336, AA, 9602, 38, 252.684211, ZIP, 648, 2, 324.000000, 
trial0001337, AA, 10296, 38, 270.947368, ZIP, 0, 2, 0.000000, 
trial0001338, AA, 9745, 38, 256.447368, ZIP, 245, 2, 122.500000, 
trial0001339, AA, 10121, 38, 266.342105, ZIP, 276, 2, 138.000000, 
