trial0000224, AA, 3573, 14, 255.214286, GDX, 3780, 14, 270.000000, ZIP, 1334, 14, 95.285714, 
trial0000225, AA, 1246, 14, 89.000000, GDX, 4024, 14, 287.428571, ZIP, 2614, 14, 186.714286, 
trial0000226, AA, 3288, 14, 234.857143, GDX, 2471, 14, 176.500000, ZIP, 2646, 14, 189.000000, 
trial0000227, AA, 3470, 14, 247.857143, GDX, 1719, 14, 122.785714, ZIP, 2246, 14, 160.428571, 
trial0000228, AA, 4371, 14, 312.214286, GDX, 1430, 14, 102.142857, ZIP, 2172, 14, 155.142857, 
trial0000229, AA, 3252, 14, 232.285714, GDX, 1784, 14, 127.428571, ZIP, 3618, 14, 258.428571, 
trial0000230, AA, 2893, 14, 206.642857, GDX, 2184, 14, 156.000000, ZIP, 3400, 14, 242.857143, 
trial0000231, AA, 2912, 14, 208.000000, GDX, 2303, 14, 164.500000, ZIP, 2880, 14, 205.714286, 
trial0000232, AA, 2984, 14, 213.142857, GDX, 1857, 14, 132.642857, ZIP, 3562, 14, 254.428571, 
trial0000233, AA, 3691, 14, 263.642857, GDX, 1448, 14, 103.428571, ZIP, 3563, 14, 254.500000, 
trial0000234, AA, 2532, 14, 180.857143, GDX, 2090, 14, 149.285714, ZIP, 3388, 14, 242.000000, 
trial0000235, AA, 2900, 14, 207.142857, GDX, 2976, 14, 212.571429, ZIP, 1969, 14, 140.642857, 
trial0000236, AA, 1911, 14, 136.500000, GDX, 2940, 14, 210.000000, ZIP, 3311, 14, 236.500000, 
trial0000237, AA, 2922, 14, 208.714286, GDX, 2456, 14, 175.428571, ZIP, 2870, 14, 205.000000, 
