trial0033833, AA, 550, 22, 25.000000, GDX, 19, 2, 9.500000, ZIP, 233, 8, 29.125000, 
trial0033834, AA, 675, 22, 30.681818, GDX, 30, 2, 15.000000, ZIP, 192, 8, 24.000000, 
trial0033835, AA, 762, 22, 34.636364, GDX, 23, 2, 11.500000, ZIP, 140, 8, 17.500000, 
trial0033836, AA, 549, 22, 24.954545, GDX, 0, 2, 0.000000, ZIP, 223, 8, 27.875000, 
trial0033837, AA, 478, 22, 21.727273, GDX, 25, 2, 12.500000, ZIP, 259, 8, 32.375000, 
trial0033838, AA, 618, 22, 28.090909, GDX, 0, 2, 0.000000, ZIP, 212, 8, 26.500000, 
trial0033839, AA, 684, 22, 31.090909, GDX, 140, 2, 70.000000, ZIP, 78, 8, 9.750000, 
trial0033840, AA, 631, 22, 28.681818, GDX, 30, 2, 15.000000, ZIP, 171, 8, 21.375000, 
trial0033841, AA, 1136, 22, 51.636364, GDX, 40, 2, 20.000000, ZIP, 585, 8, 73.125000, 
trial0033842, AA, 1403, 22, 63.772727, GDX, 34, 2, 17.000000, ZIP, 314, 8, 39.250000, 
trial0033843, AA, 1158, 22, 52.636364, GDX, 144, 2, 72.000000, ZIP, 363, 8, 45.375000, 
trial0033844, AA, 1145, 22, 52.045455, GDX, 233, 2, 116.500000, ZIP, 258, 8, 32.250000, 
trial0033845, AA, 1045, 22, 47.500000, GDX, 2, 2, 1.000000, ZIP, 731, 8, 91.375000, 
trial0033846, AA, 1103, 22, 50.136364, GDX, 158, 2, 79.000000, ZIP, 471, 8, 58.875000, 
trial0033847, AA, 1097, 22, 49.863636, GDX, 293, 2, 146.500000, ZIP, 369, 8, 46.125000, 
trial0033848, AA, 1156, 22, 52.545455, GDX, 15, 2, 7.500000, ZIP, 579, 8, 72.375000, 
